parameter,value,unit,source_type,source_url,source_date,checked_on,note
input_price_usd_mtok,0.5,USD/1M input tokens,user_slide,,2026-09-13,2026-09-14,Fixed slide assumption; historical direct Sail tariff not independently verified
output_price_usd_mtok,3.15,USD/1M output tokens,user_slide,,2026-09-13,2026-09-14,Fixed slide assumption; absent from current official pricing
input_tokens,8192,tokens/request,benchmark,https://github.com/Smallfu666/glm-5.2-sglang/blob/main/reports/2026-07-16-official-protocol-h200.md,2026-07-16,2026-09-14,Random dataset; section 2 balanced c=64
output_tokens,1024,tokens/request,benchmark,https://github.com/Smallfu666/glm-5.2-sglang/blob/main/reports/2026-07-16-official-protocol-h200.md,2026-07-16,2026-09-14,All billable output included; no extra reasoning tokens
total_throughput_tok_s,17992.6,input+output tokens/s/node,benchmark,https://github.com/Smallfu666/glm-5.2-sglang/blob/main/reports/2026-07-16-official-protocol-h200.md,2026-07-16,2026-09-14,Total throughput; not output throughput; balanced c=64
gpu_count,8,GPU/node,benchmark,https://github.com/Smallfu666/glm-5.2-sglang/blob/main/reports/2026-07-16-official-protocol-h200.md,2026-07-16,2026-09-14,H200 single node; GLM-5.2 FP8; proxy for Sail
gpu_price_usd_h,2.63,USD/GPU/h,provider,https://www.airon.ai/pricing,,2026-09-14,From price; 8x HGX H200 node listed at USD 21.04/h
utilization,1,fraction of benchmark throughput,assumption,,,2026-09-14,Full benchmark throughput sold continuously; rental charged for entire hour
sensitivity_low,1.98,USD/GPU/h,market_listing,https://gpufinder.dev/gpu/h200,2026-09-12,2026-09-14,"Single-GPU market listing; scenario only, not guaranteed 8-GPU node offer"
sensitivity_high,5.86,USD/GPU/h,market_listing,https://gpufinder.dev/gpu/h200,2026-09-12,2026-09-14,"Single-GPU market listing; scenario only, not matched SLA or topology"
sensitivity_rounded_break_even,6.43,USD/GPU/h,user_slide,,2026-09-13,2026-09-14,"Rounded scenario; exact break-even is calculated, not an input"
